number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu_score,levenstein_sim,cosine_sim,jaccard_sim
20,2/11/20 0:50,HTN,Hypertensive disease,0,0,null,1,0,1,1,0.263157895,0.5,0.673710167,0.5
21,2/11/20 0:51,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
22,2/11/20 0:52,hypertension,Hypertensive disease,0,0,null,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333
23,2/11/20 0:53,hypercholesterolemia,Hypertensive disease,0,0,null,1,1,1,1,1,1,1,0.928571429
24,2/11/20 0:53,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
25,2/11/20 0:54,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
26,2/11/20 0:54,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
27,2/11/20 0:54,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
28,2/11/20 0:55,hypertension,Hypertensive disease,0,0,Lung,1,1,0,1,0.263157895,0.5,0.673710167,0.533333333
29,2/11/20 0:56,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
30,2/11/20 0:58,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
31,2/11/20 1:01,hypertension,Hypertensive disease,0,0,null,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333
32,2/11/20 1:02,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
33,2/11/20 1:03,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
34,2/11/20 1:03,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
35,2/11/20 1:04,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
36,2/11/20 1:05,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
37,2/11/20 1:05,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
38,2/11/20 1:06,htn,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
39,2/11/20 1:06,htn,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
40,2/11/20 1:06,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
41,2/11/20 1:07,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
42,2/11/20 1:07,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
43,2/11/20 1:07,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
44,2/11/20 1:08,HTN,Hypertensive disease,0,0,Lung,1,1,0,1,0.263157895,0.5,0.673710167,0.5
45,2/11/20 1:08,high blood pressure,Hypertensive disease,0,0,Blood,1,1,0,1,0,0.15,0.250298262,0.368421053
46,2/11/20 1:09,chf,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
47,2/11/20 1:10,CHF,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
48,2/11/20 1:10,CHF,Congestive heart failure,0,0,null,1,1,1,0,0.981481481,0.96,1,0.833333333
49,2/11/20 1:11,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
50,2/11/20 1:11,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
51,2/11/20 1:11,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
52,2/11/20 1:12,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
53,2/11/20 1:12,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
54,2/11/20 1:13,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
55,2/11/20 1:13,CHF,Congestive heart failure,1,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
56,2/11/20 1:14,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
57,2/11/20 1:14,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
58,2/11/20 1:14,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
59,2/11/20 1:14,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
60,2/11/20 1:14,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
61,2/11/20 1:15,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
62,2/11/20 1:15,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
63,2/11/20 1:15,CHF,Congestive heart failure,0,1,null,1,1,1,1,0.981481481,0.96,1,0.833333333
64,2/11/20 1:16,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
65,2/11/20 1:16,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
66,2/11/20 1:17,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
67,2/11/20 1:18,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
68,2/11/20 1:18,HTN,Congestive heart failure,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
69,2/11/20 1:18,HTN,Congestive heart failure,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
70,2/11/20 1:20,HTN,Congestive heart failure,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
71,2/11/20 1:21,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
72,2/11/20 1:21,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
73,2/11/20 1:23,CHF,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
74,2/11/20 1:25,chf,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
75,2/11/20 1:27,CHF,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
76,2/11/20 1:28,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
77,2/11/20 1:29,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
78,2/11/20 1:29,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
79,2/11/20 1:30,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
80,2/11/20 1:30,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
81,2/11/20 1:30,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
82,2/11/20 1:31,CHF,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
83,2/11/20 1:31,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
84,2/11/20 1:31,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
85,2/11/20 1:33,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
86,2/11/20 1:34,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
87,2/11/20 1:35,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
88,2/11/20 1:36,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
89,2/11/20 1:36,CHF,Congestive heart failure,0,0,null,1,0,1,1,0.981481481,0.96,1,0.833333333
90,2/11/20 1:36,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
91,2/11/20 1:37,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
92,2/11/20 1:45,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
93,2/11/20 1:46,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
94,2/11/20 1:48,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
95,2/11/20 1:49,Diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636
96,2/11/20 1:49,diabetes mellitus type 2,Diabetes Mellitus,0,0,null,1,1,1,1,0.161290323,0.5,1,0.5
97,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
98,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
99,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
100,2/11/20 1:51,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
101,2/11/20 1:51,diabetes,Diabetes Mellitus,1,0,null,1,0,1,0,0.263157895,0.470588235,0.809197426,0.5
102,2/11/20 1:52,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
103,2/11/20 1:52,Diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636
104,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
105,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,null,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5
106,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5
107,2/11/20 1:54,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
108,2/11/20 1:54,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
109,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
110,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
111,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
112,2/11/20 2:12,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
113,2/11/20 2:12,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
114,2/11/20 2:13,coronary artery disease,Coronary Artery Disease,1,1,Coronary artery,1,1,1,1,1,1,1,0.666666667
115,2/11/20 2:14,coronary artery disease,Coronary Artery Disease,0,0,Arteries,1,1,1,1,1,1,1,0.666666667
116,2/11/20 2:15,CAD,Coronary Artery Disease,0,1,null,1,1,1,1,0.981481481,0.958333333,1,0.625
117,2/11/20 2:15,CAD,Coronary Artery Disease,1,0,null,1,0,1,0,0.981481481,0.958333333,1,0.625
118,2/11/20 2:16,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
119,2/11/20 2:16,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
120,2/11/20 2:17,CAD,Coronary Artery Disease,0,0,null,1,0,1,1,0.981481481,0.958333333,1,0.625
121,2/11/20 2:18,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
122,2/11/20 2:18,CAD,Coronary Artery Disease,1,0,null,1,0,1,0,0.981481481,0.958333333,1,0.625
123,2/11/20 2:20,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
124,2/11/20 2:21,CAD,Coronary Artery Disease,0,0,null,1,0,1,1,0.981481481,0.958333333,1,0.625
125,2/11/20 2:21,CAD,Coronary Artery Disease,0,0,null,1,0,1,1,0.981481481,0.958333333,1,0.625
126,2/11/20 2:22,afib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.25
127,2/11/20 2:23,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.75
128,2/11/20 2:23,afib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.25
129,2/11/20 2:24,afib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.25
130,2/11/20 2:24,ATRIAL FIBRILLATION,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.166666667
131,2/11/20 2:25,ATRIAL FIBRILLATION,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.166666667
132,2/11/20 2:26,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.75
133,2/11/20 2:26,Afib,Atrial Fibrillation,0,0,null,1,0,1,1,0,0.210526316,0.800873041,0.25
134,2/11/20 2:27,Atrial fibrillation,Atrial Fibrillation,0,1,Heart Atrium,1,0,1,1,1,1,1,0.833333333
135,2/11/20 2:27,Afib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.25
136,2/11/20 2:27,Afib,Atrial Fibrillation,0,1,null,1,1,1,1,0,0.210526316,0.800873041,0.25
137,2/11/20 2:28,Afib,Atrial Fibrillation,0,0,null,1,0,1,1,0,0.210526316,0.800873041,0.25
138,2/11/20 2:28,Afib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.25
139,2/11/20 2:29,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,0,1,1,1,1,1,0.75
140,2/11/20 2:31,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75
141,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,null,1,0,1,1,0,0.210526316,0.800873041,0.363636364
142,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.363636364
143,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,null,1,0,1,1,0,0.210526316,0.800873041,0.363636364
144,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.363636364
145,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.363636364
146,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,null,1,1,1,1,0,0.210526316,0.800873041,0.363636364
147,2/11/20 2:35,Acute on chronic renal insufficiency,Acute Kidney Insufficiency,0,0,Kidney,1,1,1,1,0.3125,0.611111111,0.529309154,0.578947368
148,2/11/20 2:36,joint disease,Arthropathy,0,0,Joints,1,1,1,1,0,0.076923077,0.435643911,0.2
149,2/11/20 2:39,phlebolith,Phlebolithiasis,0,0,Mesentery,1,1,0,1,0,0.666666667,0,0.636363636
150,2/11/20 2:40,narrowing,Coxitis,0,0,null,1,1,1,1,1,1,1,0.875
151,2/11/20 2:41,hip rheumatoid arthritis,Coxitis,0,0,Hip structure,1,1,1,1,0,0.208333333,0,0.266666667
152,2/11/20 2:42,aneurysm,Aneurysm,0,0,null,1,1,1,1,1,1,1,0.777777778
153,2/11/20 2:42,dystonia,Dystonia Disorders,0,0,null,1,1,1,1,0.263157895,0.444444444,0.829953909,0.666666667
154,2/11/20 2:43,renal tubular acidosis,Renal tubular acidosis,0,0,Kidney,1,1,1,1,1,1,1,0.933333333
155,2/11/20 2:43,SQUAMOUS CELL CARCINOMA OF THE LUNG,Squamous cell carcinoma of lung,0,0,Squamous Epithelial Cells,1,1,0,1,0.949019608,0.885714286,1,0.064516129
156,2/11/20 2:44,squamous cell carcinoma,Squamous cell carcinoma,0,0,Squamous Epithelial Cells,1,1,0,1,1,1,1,0.928571429
157,2/11/20 2:45,Multinodular goiter,Multinodular goiter,0,0,null,1,1,1,1,1,1,1,1
158,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
159,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
160,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
161,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
162,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
163,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
164,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
165,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
166,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
167,2/12/20 4:21,Food/Drug Interaction,Food-Drug Interactions,0,0,null,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333
168,2/12/20 4:21,Drug Interaction Instruction Take with food,Food-Drug Interactions,0,0,null,0,,,,0.208333333,0.279069767,0.036011785,0.681818182
169,2/12/20 4:22,hypertension,Hypertensive disease,0,1,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
170,2/12/20 4:23,hypertension,Hypertensive disease,0,0,null,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333
171,2/12/20 4:23,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
172,2/12/20 4:24,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
173,2/12/20 4:25,HTN,Hypertensive disease,0,0,Structure of right knee,1,1,1,1,0.263157895,0.5,0.673710167,0.5
174,2/12/20 4:25,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
175,2/12/20 4:25,htn,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
176,2/12/20 4:26,HTN,Hypertensive disease,0,0,Structure of right knee,1,1,1,1,0.263157895,0.5,0.673710167,0.5
177,2/12/20 4:26,HTN,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.5
178,2/12/20 4:27,Hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143
179,2/12/20 4:27,hypertension,Hypertensive disease,0,0,null,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333
180,2/12/20 4:27,CHF,Congestive heart failure,0,0,Heart Atrium,1,1,1,1,0.981481481,0.96,1,0.833333333
181,2/12/20 4:27,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
182,2/12/20 4:28,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
183,2/12/20 4:28,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
184,2/12/20 4:29,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
185,2/12/20 4:29,CHF,Congestive heart failure,0,0,null,1,1,1,1,0.981481481,0.96,1,0.833333333
186,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
187,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
188,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
189,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,null,0,,,,0,0.044444444,0.170714828,0.15
190,2/12/20 4:31,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,Coronary artery,0,,,,0,0.044444444,0.170714828,0.15
191,2/12/20 4:32,NPH,"Hydrocephalus, Normal Pressure",0,0,null,1,1,1,1,0,0.066666667,0.077783883,0.166666667
192,2/12/20 4:32,NPH,"Hydrocephalus, Normal Pressure",0,0,null,1,1,1,1,0,0.066666667,0.077783883,0.166666667
193,2/12/20 4:32,nph,"Hydrocephalus, Normal Pressure",0,0,null,1,1,1,1,0,0.066666667,0.077783883,0.105263158
194,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,Lung,1,1,1,1,0.981481481,0.958333333,1,0.625
195,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
196,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
197,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
198,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,null,1,1,1,1,0.981481481,0.958333333,1,0.625
199,2/12/20 4:34,CAD,Coronary Artery Disease,0,1,null,1,1,1,1,0.981481481,0.958333333,1,0.625
200,2/12/20 4:34,COPD,Chronic Obstructive Airway Disease,0,0,null,1,1,1,1,0.638888889,0.789473684,0.880817384,0.6
201,2/12/20 4:34,COPD,Chronic Obstructive Airway Disease,0,0,null,1,1,1,1,0.638888889,0.789473684,0.880817384,0.6
202,2/12/20 4:35,wound,Injury wounds,0,0,null,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455
203,2/12/20 4:35,wound,Injury wounds,0,0,null,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455
204,2/12/20 4:35,wound,Injury wounds,0,0,null,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455
205,2/12/20 4:35,wound,Injury wounds,0,0,null,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455
206,2/12/20 4:36,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75
207,2/12/20 4:37,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75
208,2/12/20 4:37,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75
209,2/12/20 4:37,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75
210,2/12/20 4:38,stroke,Cerebrovascular accident,0,0,Arteries,1,1,1,1,0.263157895,0.125,0.563425779,0.294117647
211,2/12/20 4:38,stroke,Cerebrovascular accident,0,0,null,1,1,1,1,0.263157895,0.125,0.563425779,0.294117647
212,2/12/20 4:39,stroke,Cerebrovascular accident,0,0,Structure of middle cerebral artery,1,1,1,1,0.263157895,0.125,0.563425779,0.294117647
213,2/12/20 4:45,anemia,Anemia,0,0,null,1,1,1,1,1,1,1,0.833333333
214,2/12/20 4:46,anemia,Anemia,0,0,null,1,1,1,1,1,1,1,0.833333333
215,2/12/20 4:46,anemia,Anemia,0,0,null,1,1,1,1,1,1,1,0.833333333
216,2/12/20 4:46,anemia,Anemia,0,0,null,1,1,1,1,1,1,1,0.833333333
217,2/12/20 4:47,anemia,Anemia,0,0,null,1,1,1,1,1,1,1,0.833333333
218,2/12/20 4:48,Endo,Endometriosis,0,0,null,1,1,1,1,0,0.307692308,0.231301844,0.4
219,2/12/20 4:48,Endo,Endometriosis,0,0,null,1,1,1,1,0,0.307692308,0.231301844,0.4
220,2/12/20 4:48,endo,Endometriosis,0,0,null,1,1,1,1,0,0.307692308,0.231301844,0.4
221,2/12/20 4:48,endo,Endometriosis,0,0,null,1,1,1,1,0,0.307692308,0.231301844,0.4
222,2/12/20 4:49,stomach,Stomach Diseases,0,0,Entire stomach,0,,,,0.263157895,0.4375,0.672669709,0.583333333
223,2/12/20 4:49,stomach,Stomach Diseases,0,0,Entire stomach,0,,,,0.263157895,0.4375,0.672669709,0.583333333
224,2/12/20 4:49,stomach,Stomach Diseases,0,0,Entire stomach,0,,,,0.263157895,0.4375,0.672669709,0.583333333
225,2/12/20 4:50,stomach,Stomach Diseases,0,0,Entire stomach,0,,,,0.263157895,0.4375,0.672669709,0.583333333
226,2/12/20 4:50,Diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636
227,2/12/20 4:50,Diabetes,Diabetes Mellitus,0,0,null,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636
