,number,date,range,concept,negation,hof,location,correct_answ,hof_answ,location_answ,negation_answ,bleu,levenshtein,old_cosine_sim,jaccard,elmo,cosine
56,57,2/11/20 1:14,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
57,58,2/11/20 1:14,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520252,1
58,59,2/11/20 1:14,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520252,1
59,60,2/11/20 1:14,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520252,1
60,61,2/11/20 1:15,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
61,62,2/11/20 1:15,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
62,63,2/11/20 1:15,CHF,Congestive heart failure,0,1,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
63,64,2/11/20 1:16,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
64,65,2/11/20 1:16,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
65,66,2/11/20 1:17,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
66,67,2/11/20 1:18,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
67,68,2/11/20 1:18,HTN,Congestive heart failure,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.27430436,0.284046895
68,69,2/11/20 1:18,HTN,Congestive heart failure,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.272912621,0.284046895
69,70,2/11/20 1:20,HTN,Congestive heart failure,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.272911489,0.284046895
70,71,2/11/20 1:21,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.90401417,1
71,72,2/11/20 1:21,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901558876,1
72,73,2/11/20 1:23,CHF,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.901521444,1
73,74,2/11/20 1:25,chf,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520193,1
74,75,2/11/20 1:27,CHF,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
75,76,2/11/20 1:28,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
76,77,2/11/20 1:29,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
77,78,2/11/20 1:29,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
78,79,2/11/20 1:30,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520252,1
79,80,2/11/20 1:30,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
80,81,2/11/20 1:30,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
81,82,2/11/20 1:31,CHF,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
82,83,2/11/20 1:31,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
83,84,2/11/20 1:31,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
84,85,2/11/20 1:33,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
85,86,2/11/20 1:34,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
86,87,2/11/20 1:35,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
87,88,2/11/20 1:36,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
88,89,2/11/20 1:36,CHF,Congestive heart failure,0,0,,1,0,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
89,90,2/11/20 1:36,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
90,91,2/11/20 1:37,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529218793,0.783392325
91,92,2/11/20 1:45,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529919803,0.783392325
92,93,2/11/20 1:46,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937565,0.783392325
93,94,2/11/20 1:48,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
94,95,2/11/20 1:49,Diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636,0.529937506,0.783392325
95,96,2/11/20 1:49,diabetes mellitus type 2,Diabetes Mellitus,0,0,,1,1,1,1,0.161290323,0.5,1,0.5,0.644574761,0.642261883
96,97,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529155433,0.783392325
97,98,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.52990979,0.783392325
98,99,2/11/20 1:50,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937565,0.783392325
99,100,2/11/20 1:51,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
100,101,2/11/20 1:51,diabetes,Diabetes Mellitus,1,0,,1,0,1,0,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
101,102,2/11/20 1:52,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
102,103,2/11/20 1:52,Diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.636363636,0.529937506,0.783392325
103,104,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
104,105,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,,1,0,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
105,106,2/11/20 1:53,diabetes,Diabetes Mellitus,0,0,,1,1,1,1,0.263157895,0.470588235,0.809197426,0.5,0.529937506,0.783392325
106,107,2/11/20 1:54,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.377471566,-0.026184319
107,108,2/11/20 1:54,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.377282947,-0.026184319
108,109,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822878659,0.642701834
109,110,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822704136,0.642701834
110,111,2/11/20 1:55,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703362,0.642701834
111,112,2/11/20 2:12,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703421,0.642701834
112,113,2/11/20 2:12,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703481,0.642701834
113,114,2/11/20 2:13,coronary artery disease,Coronary Artery Disease,1,1,Coronary artery,1,1,1,1,1,1,1,0.666666667,0.914758861,1
114,115,2/11/20 2:14,coronary artery disease,Coronary Artery Disease,0,0,Arteries,1,1,1,1,1,1,1,0.666666667,0.913737237,1
115,116,2/11/20 2:15,CAD,Coronary Artery Disease,0,1,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913713098,1
116,117,2/11/20 2:15,CAD,Coronary Artery Disease,1,0,,1,0,1,0,0.981481481,0.958333333,1,0.625,0.913710177,1
117,118,2/11/20 2:16,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913709879,1
118,119,2/11/20 2:16,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913709939,1
119,120,2/11/20 2:17,CAD,Coronary Artery Disease,0,0,,1,0,1,1,0.981481481,0.958333333,1,0.625,0.913709939,1
120,121,2/11/20 2:18,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913709819,1
121,122,2/11/20 2:18,CAD,Coronary Artery Disease,1,0,,1,0,1,0,0.981481481,0.958333333,1,0.625,0.913709939,1
122,123,2/11/20 2:20,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913709939,1
123,124,2/11/20 2:21,CAD,Coronary Artery Disease,0,0,,1,0,1,1,0.981481481,0.958333333,1,0.625,0.913709939,1
124,125,2/11/20 2:21,CAD,Coronary Artery Disease,0,0,,1,0,1,1,0.981481481,0.958333333,1,0.625,0.913709819,1
125,126,2/11/20 2:22,afib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.462128073,0.590746999
126,127,2/11/20 2:23,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.75,0.942943931,1
127,128,2/11/20 2:23,afib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.460690171,0.590746999
128,129,2/11/20 2:24,afib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.46271196,0.590746999
129,130,2/11/20 2:24,ATRIAL FIBRILLATION,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.166666667,0.942945361,1
130,131,2/11/20 2:25,ATRIAL FIBRILLATION,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.166666667,0.940867245,1
131,132,2/11/20 2:26,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,0,1,1,1,1,0.75,0.940796912,1
132,133,2/11/20 2:26,Afib,Atrial Fibrillation,0,0,,1,0,1,1,0,0.210526316,0.800873041,0.25,0.4605923,0.590746999
133,134,2/11/20 2:27,Atrial fibrillation,Atrial Fibrillation,0,1,Heart Atrium,1,0,1,1,1,1,1,0.833333333,0.942916393,1
134,135,2/11/20 2:27,Afib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.460687339,0.590746999
135,136,2/11/20 2:27,Afib,Atrial Fibrillation,0,1,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.462711722,0.590746999
136,137,2/11/20 2:28,Afib,Atrial Fibrillation,0,0,,1,0,1,1,0,0.210526316,0.800873041,0.25,0.46276319,0.590746999
137,138,2/11/20 2:28,Afib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.25,0.462763816,0.590746999
138,139,2/11/20 2:29,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,0,1,1,1,1,1,0.75,0.942945242,1
139,140,2/11/20 2:31,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75,0.940867364,1
140,141,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,,1,0,1,1,0,0.210526316,0.800873041,0.363636364,0.460595697,0.590746999
141,142,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.363636364,0.462705731,0.590746999
142,143,2/11/20 2:32,AFib,Atrial Fibrillation,0,0,,1,0,1,1,0,0.210526316,0.800873041,0.363636364,0.46276316,0.590746999
143,144,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.363636364,0.462763816,0.590746999
144,145,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.363636364,0.462763876,0.590746999
145,146,2/11/20 2:33,AFib,Atrial Fibrillation,0,0,,1,1,1,1,0,0.210526316,0.800873041,0.363636364,0.462763876,0.590746999
146,147,2/11/20 2:35,Acute on chronic renal insufficiency,Acute Kidney Insufficiency,0,0,Kidney,1,1,1,1,0.3125,0.611111111,0.529309154,0.578947368,0.741819739,0.33918032
147,148,2/11/20 2:36,joint disease,Arthropathy,0,0,Joints,1,1,1,1,0,0.076923077,0.435643911,0.2,0.417907268,0.475406334
148,149,2/11/20 2:39,phlebolith,Phlebolithiasis,0,0,Mesentery,1,1,0,1,0,0.666666667,0,0.636363636,0.593550026,0
149,150,2/11/20 2:40,narrowing,Coxitis,0,0,,1,1,1,1,1,1,1,0.875,0.342217058,0
150,151,2/11/20 2:41,hip rheumatoid arthritis,Coxitis,0,0,Hip structure,1,1,1,1,0,0.208333333,0,0.266666667,0.59200263,0
151,152,2/11/20 2:42,aneurysm,Aneurysm,0,0,,1,1,1,1,1,1,1,0.777777778,0.924985647,1
152,153,2/11/20 2:42,dystonia,Dystonia Disorders,0,0,,1,1,1,1,0.263157895,0.444444444,0.829953909,0.666666667,0.567807913,0.65417926
153,154,2/11/20 2:43,renal tubular acidosis,Renal tubular acidosis,0,0,Kidney,1,1,1,1,1,1,1,0.933333333,0.932151616,1
154,155,2/11/20 2:43,SQUAMOUS CELL CARCINOMA OF THE LUNG,Squamous cell carcinoma of lung,0,0,Squamous Epithelial Cells,1,1,0,1,0.949019608,0.885714286,1,0.064516129,0.82578522,0.407113198
155,156,2/11/20 2:44,squamous cell carcinoma,Squamous cell carcinoma,0,0,Squamous Epithelial Cells,1,1,0,1,1,1,1,0.928571429,0.926322103,1
156,157,2/11/20 2:45,Multinodular goiter,Multinodular goiter,0,0,,1,1,1,1,1,1,1,1,0.883956909,1
157,158,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.819446266,0.642701834
158,159,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822699964,0.642701834
159,160,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703421,0.642701834
160,161,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703421,0.642701834
161,162,2/12/20 4:19,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703362,0.642701834
162,163,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703362,0.642701834
163,164,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703362,0.642701834
164,165,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703421,0.642701834
165,166,2/12/20 4:20,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703421,0.642701834
166,167,2/12/20 4:21,Food/Drug Interaction,Food-Drug Interactions,0,0,,1,1,1,1,0.25,0.909090909,0.810087979,0.833333333,0.822703362,0.642701834
167,168,2/12/20 4:21,Drug Interaction Instruction Take with food,Food-Drug Interactions,0,0,,0,,,,0.208333333,0.279069767,0.036011785,0.681818182,0.567505658,0.198457131
168,169,2/12/20 4:22,hypertension,Hypertensive disease,0,1,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.609867692,0.536808118
169,170,2/12/20 4:23,hypertension,Hypertensive disease,0,0,,1,0,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614542425,0.536808118
170,171,2/12/20 4:23,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614594519,0.536808118
171,172,2/12/20 4:24,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597619,0.536808118
172,173,2/12/20 4:25,HTN,Hypertensive disease,0,0,Structure of right knee,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
173,174,2/12/20 4:25,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
174,175,2/12/20 4:25,htn,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
175,176,2/12/20 4:26,HTN,Hypertensive disease,0,0,Structure of right knee,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597797,0.536808118
176,177,2/12/20 4:26,HTN,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.5,0.614597678,0.536808118
177,178,2/12/20 4:27,Hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.642857143,0.614597738,0.536808118
178,179,2/12/20 4:27,hypertension,Hypertensive disease,0,0,,1,1,1,1,0.263157895,0.5,0.673710167,0.533333333,0.614597738,0.536808118
179,180,2/12/20 4:27,CHF,Congestive heart failure,0,0,Heart Atrium,1,1,1,1,0.981481481,0.96,1,0.833333333,0.904068887,1
180,181,2/12/20 4:27,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901561618,1
181,182,2/12/20 4:28,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901521504,1
182,183,2/12/20 4:28,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520193,1
183,184,2/12/20 4:29,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
184,185,2/12/20 4:29,CHF,Congestive heart failure,0,0,,1,1,1,1,0.981481481,0.96,1,0.833333333,0.901520133,1
185,186,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.370900422,-0.026184319
186,187,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.376763761,-0.026184319
187,188,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.377177894,-0.026184319
188,189,2/12/20 4:30,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,,0,,,,0,0.044444444,0.170714828,0.15,0.377222419,-0.026184319
189,190,2/12/20 4:31,DIS,"Deafness, Sensorineural, And Male Infertility",0,0,Coronary artery,0,,,,0,0.044444444,0.170714828,0.15,0.377227277,-0.026184319
190,191,2/12/20 4:32,NPH,"Hydrocephalus, Normal Pressure",0,0,,1,1,1,1,0,0.066666667,0.077783883,0.166666667,0.343819886,0.015864135
191,192,2/12/20 4:32,NPH,"Hydrocephalus, Normal Pressure",0,0,,1,1,1,1,0,0.066666667,0.077783883,0.166666667,0.341026962,0.015864135
192,193,2/12/20 4:32,nph,"Hydrocephalus, Normal Pressure",0,0,,1,1,1,1,0,0.066666667,0.077783883,0.105263158,0.340873301,0.015864135
193,194,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,Lung,1,1,1,1,0.981481481,0.958333333,1,0.625,0.910251617,1
194,195,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913479149,1
195,196,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913683355,1
196,197,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913706839,1
197,198,2/12/20 4:33,CAD,Coronary Artery Disease,0,0,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.913709521,1
198,199,2/12/20 4:34,CAD,Coronary Artery Disease,0,1,,1,1,1,1,0.981481481,0.958333333,1,0.625,0.91370976,1
199,200,2/12/20 4:34,COPD,Chronic Obstructive Airway Disease,0,0,,1,1,1,1,0.638888889,0.789473684,0.880817384,0.6,0.750067055,0.497291297
200,201,2/12/20 4:34,COPD,Chronic Obstructive Airway Disease,0,0,,1,1,1,1,0.638888889,0.789473684,0.880817384,0.6,0.749436855,0.497291297
201,202,2/12/20 4:35,wound,Injury wounds,0,0,,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455,0.30576095,0.613831431
202,203,2/12/20 4:35,wound,Injury wounds,0,0,,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455,0.311434031,0.613831431
203,204,2/12/20 4:35,wound,Injury wounds,0,0,,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455,0.31143409,0.613831431
204,205,2/12/20 4:35,wound,Injury wounds,0,0,,1,1,1,1,0.526315789,0.384615385,0.640541121,0.454545455,0.31143409,0.613831431
205,206,2/12/20 4:36,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75,0.944228172,1
206,207,2/12/20 4:37,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75,0.940909445,1
207,208,2/12/20 4:37,atrial fibrillation,Atrial Fibrillation,0,0,Heart Atrium,1,1,1,1,1,1,1,0.75,0.940798223,1
