index,bleu_score,levenstein_sim,jaccard_sim,Euclidean_dist,cosine_sim,correct_answ,concept,range,negation,hof,location,negation_answ,hof_answ,location_answ,old_cosine
95,0.161290323,0.5,0.5,0.30499602916340035,0.406431657709579,1,Diabetes Mellitus,diabetes mellitus type 2,0,0,,1.0,1.0,1.0,1.0
975,0.981481481,0.958333333,0.923076923,0.3406853526830673,0.0,1,Urinary tract infection,UTI,0,0,,1.0,1.0,1.0,1.0
575,0.0,0.16,0.35714285700000004,0.13335257023572922,0.35024891662496055,0,Adenohypophyseal Diseases,anterior,0,0,,,,,0.171049237
996,0.344827586,0.625,0.75,0.1913699017216762,0.37355338769550084,1,Depressive disorder,adrenal adenoma,0,0,Adrenal Glands,1.0,1.0,1.0,0.647978768
634,0.333333333,0.7826086959999999,0.923076923,0.3651414825802758,0.38617573480558276,1,Coronary heart disease,coronary artery disease,0,0,Arteries,1.0,1.0,1.0,0.6757999259999999
323,0.0,0.09677419400000001,0.15,0.13152795072112763,0.3553994726867248,0,Infantile Neuroaxonal Dystrophy,Plan,0,0,,,,,-0.16849049600000002
367,1.0,1.0,0.8,0.2226635149369637,0.3728245918225083,1,Hypertensive disease,myocardial infarction,0,0,,1.0,1.0,1.0,1.0
801,0.135135135,0.130434783,0.23076923100000002,0.1798276538029313,0.0,0,Yes - Presence findings,YES,0,0,,,,,0.452659495
99,0.263157895,0.470588235,0.5,0.41457248479127884,0.4130831448959985,1,Diabetes Mellitus,diabetes,0,0,,1.0,0.0,1.0,0.8091974259999999
748,1.0,1.0,1.0,0.3191147210697333,0.40422269695305396,1,Report status,Report Status,0,0,,1.0,1.0,1.0,1.0
787,0.10869565199999999,0.214285714,0.363636364,0.24454165332847172,0.5584330389178113,0,Grade 3 Severe Adverse Event,severe,0,0,,,,,0.559259728
511,0.263157895,0.5,0.642857143,0.39267290383577347,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,0.0,1.0,0.6737101670000001
817,1.0181451609999999,0.6521739129999999,0.666666667,0.3187623864838055,0.41931679123969934,1,No known allergy,no known drug allergies,0,0,,1.0,1.0,1.0,0.25765729
912,0.263157895,0.6,0.642857143,0.3724582518140475,0.4295752955087717,1,Cholecystectomy procedure,cholecystectomy,0,0,Coronary artery graft (morphologic abnormality),1.0,1.0,1.0,0.838336408
757,0.263157895,0.647058824,0.615384615,0.2050472175081571,0.0,0,Drug Interactions,INTERACTION,0,0,,,,,0.326243877
561,0.0,0.2,0.35714285700000004,0.2941820025444031,0.3473931657723509,1,Kidney Diseases,nephropathies,0,0,,0.0,1.0,1.0,0.399768203
798,1.0,0.923076923,0.9,0.34787081480026244,0.3708249192797776,1,Complication,Complications,0,0,,1.0,1.0,1.0,0.7851421829999999
167,0.208333333,0.27906976699999997,0.681818182,0.2112130526608477,0.4006705085995082,0,Food-Drug Interactions,Drug Interaction Instruction Take with food,0,0,,,,,0.036011785
3,1.0,1.0,0.818181818,0.2643387205898762,0.3755570918114649,1,Hypertensive disease,heart failure,0,0,Heart,1.0,1.0,1.0,1.0
271,1.0,1.0,0.75,0.39176919460296633,0.4332968650216406,1,Obesity,obesity,0,0,,1.0,1.0,1.0,1.0
622,1.0,1.0,1.0,0.3912757970392704,0.3546994013625842,1,Aspiration Pneumonia,aspiration pneumonia,0,0,,1.0,1.0,1.0,1.0
679,0.135135135,0.27777777800000003,0.533333333,0.30765893775969744,0.45295952228156644,0,Infections of musculoskeletal system,Infections,0,0,,,,,0.338255769
390,1.0,1.0,0.8,0.3446378583709399,0.39041498297238875,1,Myocardial Infarction,myocardial infarction,0,0,,1.0,1.0,1.0,1.0
723,0.526315789,0.4,0.636363636,0.2818939536809921,0.43346359419325986,0,Chromosome inversion,inversions,0,0,,,,,0.0
141,0.0,0.21052631600000002,0.363636364,0.29881589363018674,0.39757098630070686,1,Atrial Fibrillation,AFib,0,0,,1.0,1.0,1.0,0.8008730409999999
957,1.277777778,0.954545455,0.9285714290000001,0.15730792987677786,0.37991419966731754,1,Leukocyte adhesion deficiency type 1,myocardial infarctions,0,0,,1.0,1.0,1.0,0.6898215409999999
1017,0.263157895,0.444444444,0.46153846200000004,0.34052666276693344,0.3660407811985351,1,Dialysis procedure,dialysis,0,0,,1.0,1.0,1.0,0.6296078860000001
17,0.263157895,0.5,0.533333333,0.3921019956469536,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
621,0.0,0.257142857,0.611111111,0.20687154361179896,0.0,1,Gestational Trophoblastic Neoplasms,GTT,0,0,,1.0,1.0,1.0,-0.111625537
202,0.526315789,0.384615385,0.454545455,0.3063867638508479,0.430854931473732,1,Injury wounds,wound,0,0,,1.0,1.0,1.0,0.640541121
26,0.263157895,0.5,0.642857143,0.36115525166193646,0.4172568258387272,1,Hypertensive disease,Hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
137,0.0,0.21052631600000002,0.25,0.27251074214776355,0.4162763003259897,1,Atrial Fibrillation,Afib,0,0,,1.0,1.0,1.0,0.8008730409999999
83,0.981481481,0.96,0.833333333,0.312140445624079,0.0,1,Congestive heart failure,CHF,0,0,,1.0,1.0,1.0,1.0
509,0.263157895,0.5,0.642857143,0.3885554497440656,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,0.0,1.0,0.6737101670000001
69,0.263157895,0.5,0.5,0.267524785229138,0.0,1,Congestive heart failure,HTN,0,0,,1.0,1.0,1.0,0.6737101670000001
923,1.0,1.0,1.0,0.3256265729665756,1.0,1,Urinalysis,Urinalysis,0,0,,1.0,1.0,1.0,1.0
753,1.0,1.0,1.0,0.3091246423621972,0.45883209033779904,1,Blood Pressure,blood pressure,0,0,Blood,1.0,1.0,1.0,1.0
1013,1.0,1.0,1.0,0.3496746182441711,0.3286681917629072,1,Angioplasty,angioplasty,0,0,,1.0,1.0,1.0,1.0
270,1.0,1.0,0.75,0.3915033221244812,0.4332968650216406,1,Obesity,obesity,0,0,,1.0,1.0,1.0,1.0
109,0.25,0.9090909090000001,0.833333333,0.30673499032855034,0.4050285166654831,1,Food-Drug Interactions,Food/Drug Interaction,0,0,,1.0,1.0,1.0,0.8100879790000001
796,1.0,0.923076923,0.9,0.3661601275205612,0.3751484574554683,1,Complication,complications,1,0,,1.0,1.0,1.0,0.7851421829999999
933,0.17857142899999998,0.17391304300000002,0.25,0.3096317797899246,0.47811903278617296,0,"Joint Examination, Knee",knee,0,0,,,,,0.66565303
747,1.0,1.0,1.0,0.31965287898977596,0.40422269695305396,1,Report status,Report Status,0,0,,1.0,1.0,1.0,1.0
442,0.0,0.222222222,0.384615385,0.15881608302394548,0.4325246974892382,0,Impatent structure,atretic,0,0,Collateral branch of vessel,,,,0.0
628,0.0,0.075,0.1875,0.2248018511704036,0.3887508772313595,0,"Diabetes Mellitus, Non-Insulin-Dependent",mod,0,0,,,,,0.061088193
476,0.981481481,0.967741935,0.75,0.21496057510375977,0.0,1,International Normalized Ratio,INR,0,0,,1.0,1.0,1.0,1.0
251,0.135135135,0.27777777800000003,0.5625,0.3065287098288536,0.45295952228156644,1,Infections of musculoskeletal system,Infections,0,0,,1.0,1.0,1.0,0.338255769
1003,0.9375,0.857142857,0.8888888890000001,0.17795542689661184,0.3473009850610705,1,Depressive disorder,Colon polyps,0,0,Colon structure (body structure),1.0,1.0,1.0,0.883559853
299,1.0,1.0,1.0,0.4525047540664673,1.0,1,Pneumonia,Pneumonia,0,0,,1.0,1.0,1.0,1.0
294,1.0,1.0,0.7777777779999999,0.4273779332637787,0.39673829672707095,1,Pneumonia,pneumonia,0,0,,1.0,1.0,1.0,1.0
882,1.0,1.0,1.0,0.32694180905818937,1.0,1,Urinalysis,Urinalysis,0,0,,1.0,1.0,1.0,1.0
334,1.0,1.0,0.125,0.16323698436220488,0.0,1,Myocardial Infarction,MYOCARDIAL INFARCTION,0,0,,1.0,1.0,1.0,1.0
848,1.0,1.0,1.0,0.38386782109737394,0.45447572274133563,1,Ataxia,ataxia,0,0,,1.0,1.0,1.0,1.0
513,0.263157895,0.5,0.642857143,0.3610611855983734,0.4172568258387272,1,Hypertensive disease,Hypertension,0,0,,1.0,0.0,1.0,0.6737101670000001
102,0.263157895,0.470588235,0.636363636,0.42644219348828,0.41001311784648165,1,Diabetes Mellitus,Diabetes,0,0,,1.0,1.0,1.0,0.8091974259999999
371,1.0,1.0,1.0,0.3160919189453125,1.0,1,Lisinopril,Lisinopril,0,0,,1.0,1.0,1.0,1.0
421,0.333333333,0.818181818,0.611111111,0.3001505991532689,0.39126556818683944,1,Deep Vein Thrombosis,deep venous thrombosis,0,0,Veins,1.0,0.0,0.0,0.844430337
346,0.0,0.130434783,0.14285714300000002,0.17604149878025055,0.27932497169822457,1,Adenosine Monophosphate,amp,0,0,,1.0,1.0,1.0,0.469460875
1016,0.21739130399999998,0.275862069,0.642857143,0.24685153166453044,0.4851525251960589,1,Fecal Incontinence,"incontinence of urine , stool",0,0,,1.0,1.0,1.0,0.503075512
821,1.0,1.0,1.0,0.3582683267692725,0.4086415949463844,1,Back Pain,back pain,0,0,,1.0,1.0,1.0,1.0
394,1.0,1.0,0.8,0.3486155991752942,0.39041498297238875,1,Myocardial Infarction,myocardial infarction,0,1,Arteries,1.0,1.0,0.0,1.0
752,0.17857142899999998,0.1875,0.272727273,0.2672539417232786,0.3013747945809976,0,Procedure on hip,hip,0,0,Hip structure,,,,0.42326722
278,1.0,1.0,0.7777777779999999,0.4388280391693115,0.39673829672707095,1,Pneumonia,pneumonia,0,0,,1.0,1.0,1.0,1.0
982,0.263157895,0.636363636,0.7692307690000001,0.3859773576259613,0.3411327553779951,1,Rehabilitation therapy,rehabilitation,0,0,,1.0,1.0,1.0,0.7451814409999999
466,0.0,0.28571428600000004,0.36842105299999994,0.1671162411570549,0.0,1,Coumadin,TSH,0,0,,1.0,1.0,1.0,0.811642587
626,0.263157895,0.7222222220000001,0.75,0.3136546139915784,0.39100850126347864,1,Lung consolidation,consolidation,1,0,,1.0,1.0,1.0,0.637718275
600,0.263157895,0.470588235,0.636363636,0.41848385830720264,0.4130831448959985,1,Diabetes Mellitus,diabetes,0,0,,1.0,1.0,1.0,0.8091974259999999
216,1.0,1.0,0.833333333,0.43718450963497163,0.444882161100395,1,Anemia,anemia,0,0,,1.0,1.0,1.0,1.0
999,1.0,1.0,1.0,0.36451208343108493,0.4269584685783176,1,Depressive disorder,dementia,0,0,,1.0,1.0,1.0,1.0
125,0.0,0.21052631600000002,0.25,0.24085782965024313,0.363867286243476,1,Atrial Fibrillation,afib,0,0,,1.0,1.0,1.0,0.8008730409999999
1009,1.0,1.0,1.0,0.34911228120327,0.3286681917629072,1,Angioplasty,angioplasty,0,0,,1.0,1.0,1.0,1.0
668,0.135135135,0.27777777800000003,0.533333333,0.3073879415169358,0.45295952228156644,0,Infections of musculoskeletal system,Infections,0,0,,,,,0.338255769
391,1.0,1.0,0.8,0.3446381948888302,0.39041498297238875,1,Myocardial Infarction,myocardial infarction,0,0,,1.0,0.0,1.0,1.0
298,1.0,1.0,0.066666667,0.15835466831922532,0.0,1,Pneumonia,PNEUMONIA,0,0,,1.0,1.0,1.0,1.0
116,0.981481481,0.958333333,0.625,0.3105358864579882,0.0,1,Coronary Artery Disease,CAD,1,0,,0.0,0.0,1.0,1.0
170,0.263157895,0.5,0.533333333,0.3884561111529668,0.3990007418173331,1,Hypertensive disease,hypertension,0,0,,1.0,1.0,1.0,0.6737101670000001
157,0.25,0.9090909090000001,0.833333333,0.3065196157743533,0.4050285166654831,1,Food-Drug Interactions,Food/Drug Interaction,0,0,,1.0,1.0,1.0,0.8100879790000001
973,0.981481481,0.958333333,0.923076923,0.3401816040277481,0.0,1,Urinary tract infection,UTI,0,0,,1.0,1.0,1.0,1.0
345,0.0,0.130434783,0.14285714300000002,0.17204491794109344,0.27932497169822457,1,Adenosine Monophosphate,amp,0,0,,1.0,1.0,1.0,0.469460875
937,0.0,0.375,0.6,0.2228329156835874,0.38149849853167933,0,Weighing patient,weight,0,0,,,,,0.35411594799999996
101,0.263157895,0.470588235,0.5,0.41984449575344723,0.4130831448959985,1,Diabetes Mellitus,diabetes,0,0,,1.0,0.0,1.0,0.8091974259999999
764,0.263157895,0.647058824,0.615384615,0.28599151223897934,0.42191976899547234,0,Drug Interactions,Interaction,0,0,,,,,0.326243877
310,1.0,1.0,1.0,0.33750222995877266,1.0,1,Heart failure,Heart failure,0,0,Heart,1.0,1.0,1.0,1.0
839,0.263157895,0.5,0.46153846200000004,0.3522130250930786,0.40930819432768556,1,Management procedure,management,0,0,,1.0,1.0,1.0,0.595465705
568,0.0,0.2,0.28571428600000004,0.2902945851286252,0.30649667097763583,1,Kidney Diseases,nephropathy,0,0,,1.0,1.0,1.0,0.38639897100000004
702,0.0,0.24,0.65,0.15818646550178528,0.0,0,"Disruptive, Impulse Control, and Conduct Disorders",ICD,0,1,,,,,0.245857745
857,0.981481481,0.967741935,0.923076923,0.2143749360527311,0.0,1,International Normalized Ratio,INR,0,0,,1.0,1.0,1.0,1.0
963,0.263157895,0.428571429,0.5555555560000001,0.17161469078726238,0.3907214181083772,1,Leukocyte adhesion deficiency type 1,arrest,0,0,Heart Ventricle,1.0,1.0,1.0,0.740449548
490,0.9375,0.7692307690000001,0.8,0.24547070388992628,0.4337646454572678,1,Hay fever,knee injury,0,0,Knee,1.0,1.0,1.0,0.5412980620000001
433,0.333333333,0.7826086959999999,0.578947368,0.2856712596757071,0.0,1,Deep Vein Thrombosis,DVT,0,0,,1.0,1.0,1.0,0.844430337
143,0.0,0.21052631600000002,0.363636364,0.2993802900115649,0.39757098630070686,1,Atrial Fibrillation,AFib,0,0,,1.0,1.0,1.0,0.8008730409999999
944,0.17857142899999998,0.3,0.454545455,0.2062505813581603,0.5471345762557843,0,Screening for cancer,screen,0,0,,,,,0.474939605
264,0.5,0.571428571,0.375,0.26155363470315934,0.4275076831380526,1,Obesity,obese,0,0,,1.0,1.0,1.0,0.714399695
715,0.0,0.155172414,0.5,0.13298307359218597,0.0,0,Spondyloenchondrodysplasia,SEM,0,0,,,,,0.0
315,1.0,1.0,0.818181818,0.3374120034277439,0.40558102054160033,1,Heart failure,heart failure,0,0,Heart,1.0,0.0,1.0,1.0
607,0.0,0.16,0.35714285700000004,0.1360141634941101,0.35024891662496055,0,Adenohypophyseal Diseases,anterior,0,0,,,,,0.171049237
942,0.263157895,0.125,0.3125,0.34417738020420074,0.42010515919801866,1,Cerebrovascular accident,stroke,0,0,,1.0,1.0,1.0,0.563425779
773,0.0,0.25,0.333333333,0.22979816794395447,0.0,0,Discontinued,DIS,0,0,,,,,-0.025968384
940,0.613425926,0.551020408,0.736842105,0.25062683038413525,0.0,1,CAT scan of head,PTT,0,0,,1.0,1.0,1.0,0.45135809
624,0.166666667,0.275,0.875,0.2574929417598815,0.4355288807159433,1,"Diabetes Mellitus, Non-Insulin-Dependent",Non-insulin dependent diabetes,0,0,,1.0,1.0,1.0,0.244843697
602,0.263157895,0.470588235,0.636363636,0.4262049123644829,0.41001311784648165,1,Diabetes Mellitus,Diabetes,0,0,,1.0,1.0,1.0,0.8091974259999999
